file_path,module,function_name,args,return_type,is_async,is_method,decorators,docstring,start_line,end_line
script/rs2zig_query.py,script.rs2zig_query,cmd_search,(args_list: list),None,False,False,,Search knowledge graph CSV catalogs matching terms and filters.,70,190
script/rs2zig_query.py,script.rs2zig_query,row_matches,(row_text: str),bool,False,False,,Check if row content matches compiled search patterns.,131,140
script/rs2zig_query.py,script.rs2zig_query,cmd_audit,(),None,False,False,,"Audit project code for rule compliance (file size, docstrings, type hints).",192,237
script/rs2zig_query.py,script.rs2zig_query,cmd_sync,(),None,False,False,,Execute metadata extraction shell script to sync CSVs.,239,249
script/rs2zig_query.py,script.rs2zig_query,main,(),None,False,False,,Main CLI entry point.,251,276
src/main.py,src.main,main,(),None,False,False,,Main application entry point.,17,19
src/rs2zig/backend/build_zig_gen.py,src.rs2zig.backend.build_zig_gen,generate_build_zig,"(executable_name: str = 'app', main_src: str = 'main.zig', dependencies: Optional[List[str]] = None, target_wasm: bool = False)",str,False,False,,Generate content for a build.zig script targeting Zig 0.16.0.,13,70
src/rs2zig/backend/decl_emitter.py,src.rs2zig.backend.decl_emitter,emit_trait_decl,(trait: TraitDecl),str,False,False,,Emit Zig interface definition / comment for a trait.,12,18
src/rs2zig/backend/decl_emitter.py,src.rs2zig.backend.decl_emitter,emit_enum_decl,"(enum_decl: EnumDecl, indent_fn: Callable[[], str], inc_indent: Callable[[], None], dec_indent: Callable[[], None])",str,False,False,,Emit Zig enum or tagged union definition.,21,48
src/rs2zig/backend/decl_emitter.py,src.rs2zig.backend.decl_emitter,emit_struct_decl,"(struct: StructDecl, methods: List[FnDecl], emitter_ctx: Any)",str,False,False,,Emit Zig struct definition including any impl methods.,51,107
src/rs2zig/backend/decl_emitter.py,src.rs2zig.backend.decl_emitter,emit_function_decl,"(fn: FnDecl, emitter_ctx: Any, parent_struct_name: Optional[str] = None, field_names: Optional[Set[str]] = None)",str,False,False,,Emit Zig function or method definition.,110,181
src/rs2zig/backend/decl_emitter.py,src.rs2zig.backend.decl_emitter,emit_params_decl,"(params: List[Param], parent_struct_name: Optional[str] = None, field_names: Optional[Set[str]] = None, emitter_ctx: Any = None)",str,False,False,,Emit comma-separated parameters list string.,184,217
src/rs2zig/backend/expr_emitter.py,src.rs2zig.backend.expr_emitter,emit_expr,"(expr: Expr, emitter_ctx: Any)",str,False,False,,Emit expression string.,17,466
src/rs2zig/backend/fallback_emitter.py,src.rs2zig.backend.fallback_emitter,generate_fallback_headers,"(clean_body: str, all_declared_names: Set[str], imported_modules: Set[str], header_lines: List[str])",None,False,False,,Generate clean fallback declarations for undeclared modules and types in header_lines.,21,88
src/rs2zig/backend/stmt_emitter.py,src.rs2zig.backend.stmt_emitter,emit_block_lines,"(block: BlockExpr, emitter_ctx: Any)",List[str],False,False,,Emit list of indented statement strings inside a block.,15,61
src/rs2zig/backend/stmt_emitter.py,src.rs2zig.backend.stmt_emitter,emit_stmt,"(stmt: Stmt, emitter_ctx: Any)",str,False,False,,Emit single statement string without leading indent.,64,206
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter.__init__,"(self, indent_str: str = '    ')",None,False,True,,Initialize emitter with specified indentation.,22,28
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter.emit_source_file,"(self, sf: SourceFile, file_path: Optional[str] = None)",str,False,True,,Emit complete Zig source file string from SourceFile node.,30,119
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter._indent,(self),str,False,True,,Get current indentation string.,121,123
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter._emit_trait,"(self, trait: TraitDecl)",str,False,True,,Emit Zig interface definition for a trait.,125,127
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter._emit_enum,"(self, enum_decl: EnumDecl)",str,False,True,,Emit Zig enum or tagged union definition.,129,135
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter._emit_struct,"(self, struct: StructDecl, methods: List[FnDecl])",str,False,True,,Emit Zig struct definition including any impl methods.,137,139
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter._emit_function,"(self, fn: FnDecl, parent_struct_name: Optional[str] = None, field_names: Optional[Set[str]] = None)",str,False,True,,Emit Zig function or method definition.,141,143
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter._emit_block_lines,"(self, block: BlockExpr)",List[str],False,True,,Emit list of indented statement strings inside a block.,145,147
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter._emit_stmt,"(self, stmt: Stmt)",str,False,True,,Emit single statement string without leading indent.,149,151
src/rs2zig/backend/zig_emitter.py,src.rs2zig.backend.zig_emitter,ZigEmitter._emit_expr,"(self, expr: Expr)",str,False,True,,Emit expression string.,153,155
src/rs2zig/cli.py,src.rs2zig.cli,build_arg_parser,(),argparse.ArgumentParser,False,False,,Construct CLI argument parser.,36,69
src/rs2zig/cli.py,src.rs2zig.cli,run_transpile,"(input_path: str, output_path: Optional[str] = None, format_code: bool = True, validate: bool = False, expand: bool = True)",str,False,False,,Run full transpilation pipeline on input Rust file.,72,138
src/rs2zig/cli.py,src.rs2zig.cli,_transpile_worker,"(task_tuple: Tuple[str, str])","Tuple[str, str, bool, int, Optional[str]]",False,False,,Worker task function for parallel project transpilation.,141,151
src/rs2zig/cli.py,src.rs2zig.cli,run_transpile_project,"(project_dir: str, output_dir: str, jobs: int = 4, target_wasm: bool = False)",List[str],False,False,,Transpile a multi-module Rust project directory concurrently using multithreading.,154,229
src/rs2zig/cli.py,src.rs2zig.cli,main,(),None,False,False,,CLI application main entry point.,232,278
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,get_node_type,(node: tree_sitter.Node),str,False,False,,Safely get string node type (handles differences between tree-sitter versions).,55,64
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder.__init__,"(self, code_bytes: bytes)",None,False,True,,Initialize ASTBuilder with original source code bytes for exact text extraction.,70,76
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder.get_text,"(self, node: tree_sitter.Node)",str,False,True,,Extract substring text corresponding to a tree-sitter node.,78,89
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder.build_source_file,"(self, root_node: tree_sitter.Node)",SourceFile,False,True,,Build top-level SourceFile IR from tree-sitter source_file node.,91,120
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_const,"(self, node: tree_sitter.Node)",ConstDecl,False,True,,Build ConstDecl from const_item or static_item node.,122,134
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_struct,"(self, node: tree_sitter.Node)",StructDecl,False,True,,Build StructDecl from struct_item node.,136,168
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_enum,"(self, node: tree_sitter.Node)",EnumDecl,False,True,,Build EnumDecl from enum_item node.,170,183
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_trait,"(self, node: tree_sitter.Node)",TraitDecl,False,True,,Build TraitDecl from trait_item node.,185,198
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_enum_variant,"(self, node: tree_sitter.Node)",EnumVariant,False,True,,Build EnumVariant from enum_variant node.,200,226
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_impl,"(self, node: tree_sitter.Node)",ImplBlock,False,True,,Build ImplBlock from impl_item node.,228,243
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_function,"(self, node: tree_sitter.Node)",FnDecl,False,True,,Build FnDecl from function_item node.,245,299
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_type,"(self, node: tree_sitter.Node)",TypeNode,False,True,,Build TypeNode from type syntax node.,301,338
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_block,"(self, node: tree_sitter.Node)",BlockExpr,False,True,,Build BlockExpr from block node.,340,380
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_let_stmt,"(self, node: tree_sitter.Node)",LetStmt,False,True,,Build LetStmt from let_declaration node.,382,400
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_assign_stmt,"(self, node: tree_sitter.Node)",AssignStmt,False,True,,Build AssignStmt from assignment_expression node.,402,412
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._build_expr,"(self, node: tree_sitter.Node)",Expr,False,True,,Recursively build Expr node from tree-sitter node.,414,729
src/rs2zig/frontend/ast_builder.py,src.rs2zig.frontend.ast_builder,ASTBuilder._is_expr_node,"(self, node: tree_sitter.Node)",bool,False,True,,Check if node represents an expression rather than statement.,731,742
src/rs2zig/frontend/cargo_parser.py,src.rs2zig.frontend.cargo_parser,parse_cargo_toml,(cargo_path: str),Optional[CargoManifest],False,False,,Parse Cargo.toml file and return CargoManifest dataclass.,32,68
src/rs2zig/frontend/macro_expand.py,src.rs2zig.frontend.macro_expand,expand_macros,"(code_or_file: str, is_file_path: bool = False)",str,False,False,,Expand macros in Rust source code using cargo expand if available.,15,55
src/rs2zig/frontend/macro_expand.py,src.rs2zig.frontend.macro_expand,_read_or_return,"(code_or_file: str, is_file_path: bool)",str,False,False,,Helper to read file content or return code string.,58,67
src/rs2zig/frontend/mod_resolver.py,src.rs2zig.frontend.mod_resolver,ModuleResolver.discover_project_files,"(self, project_dir: str)",List[str],False,True,,Discover all Rust source files in a project directory.,17,31
src/rs2zig/frontend/mod_resolver.py,src.rs2zig.frontend.mod_resolver,ModuleResolver.map_rust_mod_to_zig_import,"(self, mod_name: str)",str,False,True,,Map Rust module name to Zig @import statement string.,33,42
src/rs2zig/frontend/ts_parser.py,src.rs2zig.frontend.ts_parser,get_process_parser,(),'RustParser',False,False,,Return process-global cached RustParser instance to avoid re-creation overhead.,18,23
src/rs2zig/frontend/ts_parser.py,src.rs2zig.frontend.ts_parser,RustParser.__init__,(self),None,False,True,,Initialize tree-sitter Rust parser and language binding.,29,37
src/rs2zig/frontend/ts_parser.py,src.rs2zig.frontend.ts_parser,RustParser.parse_code,"(self, code: str)",tree_sitter.Tree,False,True,,Parse Rust source code string into tree-sitter Tree.,39,52
src/rs2zig/frontend/ts_parser.py,src.rs2zig.frontend.ts_parser,RustParser.parse_file,"(self, file_path: str)",tree_sitter.Tree,False,True,,Parse Rust file into tree-sitter Tree.,54,69
src/rs2zig/ir/nodes.py,src.rs2zig.ir.nodes,TypeNode.__str__,(self),str,False,True,,String representation of type.,41,52
src/rs2zig/lowering/async_plugin.py,src.rs2zig.lowering.async_plugin,AsyncPlugin.crate_name,(self),str,False,True,,Return crate name.,26,28
src/rs2zig/lowering/async_plugin.py,src.rs2zig.lowering.async_plugin,AsyncPlugin.lower_call,"(self, expr: CallExpr)",Optional[Expr],False,True,,Lower thread spawning calls to Zig std.Thread.spawn.,30,50
src/rs2zig/lowering/async_plugin.py,src.rs2zig.lowering.async_plugin,AsyncPlugin.lower_source_file,"(self, sf: SourceFile)",bool,False,True,,Traverse SourceFile AST and lower threading/async calls.,52,71
src/rs2zig/lowering/bevy_plugin.py,src.rs2zig.lowering.bevy_plugin,BevyPlugin.crate_name,(self),str,False,True,,Return crate name.,29,31
src/rs2zig/lowering/bevy_plugin.py,src.rs2zig.lowering.bevy_plugin,BevyPlugin.lower_struct_init,"(self, expr: StructInitExpr)",Optional[StructInitExpr],False,True,,Prefix Bevy component struct initializers with bevy_ecs namespace.,33,45
src/rs2zig/lowering/bevy_plugin.py,src.rs2zig.lowering.bevy_plugin,BevyPlugin.lower_source_file,"(self, sf: SourceFile)",bool,False,True,,Run Bevy ECS lowering pass on SourceFile.,47,88
src/rs2zig/lowering/bevy_plugin.py,src.rs2zig.lowering.bevy_plugin,BevyPlugin._lower_expr,"(self, expr: Expr)",None,False,True,,Recursively lower StructInitExpr nodes inside expressions.,90,98
src/rs2zig/lowering/bevy_plugin.py,src.rs2zig.lowering.bevy_plugin,BevyPlugin._lower_block,"(self, block: BlockExpr)",None,False,True,,Recursively lower statements inside block.,100,125
src/rs2zig/lowering/bevy_plugin.py,src.rs2zig.lowering.bevy_plugin,BevyPlugin._lower_call_chain,"(self, expr: CallExpr)",bool,False,True,,Recursively lower method chain calls (e.g. App::new().add_systems(...).run()).,127,158
src/rs2zig/lowering/cffi_plugin.py,src.rs2zig.lowering.cffi_plugin,CFFIPlugin.crate_name,(self),str,False,True,,Return crate name.,18,20
src/rs2zig/lowering/cffi_plugin.py,src.rs2zig.lowering.cffi_plugin,CFFIPlugin.lower_type,"(self, type_node: TypeNode)",Optional[TypeNode],False,True,,Lower raw pointer types to Zig C-interop types.,22,40
src/rs2zig/lowering/cffi_plugin.py,src.rs2zig.lowering.cffi_plugin,CFFIPlugin.lower_source_file,"(self, sf: SourceFile)",bool,False,True,,Traverse SourceFile AST and lower C-FFI pointer types.,42,62
src/rs2zig/lowering/control_flow.py,src.rs2zig.lowering.control_flow,split_macro_args,(args_str: str),List[str],False,False,,Split macro arguments respecting string literal boundaries.,16,48
src/rs2zig/lowering/control_flow.py,src.rs2zig.lowering.control_flow,lower_println_macro,(macro_expr: MacroCallExpr),"Tuple[str, List[Expr]]",False,False,,Lower Rust println! / print! macro call into Zig std.debug.print format and args.,51,100
src/rs2zig/lowering/enum_lowering.py,src.rs2zig.lowering.enum_lowering,EnumLoweringPass.is_tagged_union,"(self, enum_decl: EnumDecl)",bool,False,True,,Check if enum decl contains any payload fields requiring a Zig tagged union.,25,34
src/rs2zig/lowering/enum_lowering.py,src.rs2zig.lowering.enum_lowering,EnumLoweringPass.lower_match_pattern,"(self, pattern: str)",str,False,True,,Convert Rust match arm pattern string to Zig switch arm pattern string.,36,53
src/rs2zig/lowering/ownership_pass.py,src.rs2zig.lowering.ownership_pass,OwnershipPass.lower_source_file,"(self, sf: SourceFile)",None,False,True,,Run ownership and allocator lowering pass on SourceFile.,27,46
src/rs2zig/lowering/ownership_pass.py,src.rs2zig.lowering.ownership_pass,OwnershipPass._lower_function,"(self, fn: FnDecl)",bool,False,True,,Lower function body heap calls and inject allocator parameters if needed.,48,87
src/rs2zig/lowering/ownership_pass.py,src.rs2zig.lowering.ownership_pass,OwnershipPass._update_callers,"(self, fn: FnDecl, allocator_funcs: set)",None,False,True,,Pass allocator argument to called functions requiring an allocator.,89,104
src/rs2zig/lowering/plugin_api.py,src.rs2zig.lowering.plugin_api,LibraryLoweringPlugin.crate_name,(self),str,False,True,,"Return the target crate or library name (e.g. 'bevy', 'std', 'serde').",20,22
src/rs2zig/lowering/plugin_api.py,src.rs2zig.lowering.plugin_api,LibraryLoweringPlugin.lower_type,"(self, type_node: TypeNode)",Optional[TypeNode],False,True,,Lower a Rust type to target Zig type representation.,24,33
src/rs2zig/lowering/plugin_api.py,src.rs2zig.lowering.plugin_api,LibraryLoweringPlugin.lower_call,"(self, expr: CallExpr)",Optional[Expr],False,True,,Lower a function or method call expression.,35,44
src/rs2zig/lowering/plugin_api.py,src.rs2zig.lowering.plugin_api,LibraryLoweringPlugin.lower_struct_init,"(self, expr: StructInitExpr)",Optional[StructInitExpr],False,True,,Lower a struct initialization expression.,46,55
src/rs2zig/lowering/plugin_api.py,src.rs2zig.lowering.plugin_api,LibraryLoweringPlugin.lower_source_file,"(self, sf: SourceFile)",bool,False,True,,Run full source file transformation pass.,57,66
src/rs2zig/lowering/plugin_registry.py,src.rs2zig.lowering.plugin_registry,PluginRegistry.__init__,(self),None,False,True,,Initialize empty plugin registry.,18,20
src/rs2zig/lowering/plugin_registry.py,src.rs2zig.lowering.plugin_registry,PluginRegistry.register_plugin,"(self, plugin: LibraryLoweringPlugin)",None,False,True,,Register a new library lowering plugin.,22,29
src/rs2zig/lowering/plugin_registry.py,src.rs2zig.lowering.plugin_registry,PluginRegistry.run_lowering_passes,"(self, sf: SourceFile)",List[str],False,True,,Run all registered lowering plugins on SourceFile AST.,31,50
src/rs2zig/lowering/serde_plugin.py,src.rs2zig.lowering.serde_plugin,SerdePlugin.crate_name,(self),str,False,True,,Return crate name.,18,20
src/rs2zig/lowering/serde_plugin.py,src.rs2zig.lowering.serde_plugin,SerdePlugin.lower_source_file,"(self, sf: SourceFile)",bool,False,True,,Traverse SourceFile AST and lower Serde derives.,22,40
src/rs2zig/lowering/stdlib_map.py,src.rs2zig.lowering.stdlib_map,_split_angle_brackets,(s: str),"Optional[Tuple[str, str, str]]",False,False,,"Extract base type, inner generic args, and suffix from angle bracketed type string.",77,95
src/rs2zig/lowering/stdlib_map.py,src.rs2zig.lowering.stdlib_map,_split_top_level_commas,(s: str),List[str],False,False,,Split comma-separated arguments respecting nested bracket depth.,98,120
src/rs2zig/lowering/stdlib_map.py,src.rs2zig.lowering.stdlib_map,_split_top_level_semicolon,(s: str),"Optional[Tuple[str, str]]",False,False,,Split type string on top-level semicolon respecting bracket depth.,123,135
src/rs2zig/lowering/stdlib_map.py,src.rs2zig.lowering.stdlib_map,map_type,"(rust_type: Union[TypeNode, str], is_return_type: bool = False)",str,False,False,,Map a Rust TypeNode or type string into Zig target type string representation.,138,276
src/rs2zig/lowering/stdlib_plugin.py,src.rs2zig.lowering.stdlib_plugin,StdlibPlugin.crate_name,(self),str,False,True,,Return crate name.,26,28
src/rs2zig/lowering/stdlib_plugin.py,src.rs2zig.lowering.stdlib_plugin,StdlibPlugin.lower_type,"(self, type_node: TypeNode)",Optional[TypeNode],False,True,,Lower std collection and system types to Zig equivalents.,30,60
src/rs2zig/lowering/stdlib_plugin.py,src.rs2zig.lowering.stdlib_plugin,StdlibPlugin.lower_call,"(self, expr: CallExpr)",Optional[Expr],False,True,,Lower std collection constructors and function calls.,62,76
src/rs2zig/lowering/stdlib_plugin.py,src.rs2zig.lowering.stdlib_plugin,StdlibPlugin.lower_source_file,"(self, sf: SourceFile)",bool,False,True,,Traverse SourceFile AST and lower all stdlib types and calls.,78,110
src/rs2zig/lowering/trait_lowering.py,src.rs2zig.lowering.trait_lowering,TraitLoweringPass.lower_source_file,"(self, sf: SourceFile)",None,False,True,,Run trait and generic lowering pass on SourceFile.,25,45
src/rs2zig/lowering/trait_lowering.py,src.rs2zig.lowering.trait_lowering,TraitLoweringPass._lower_function_generics,"(self, fn: FnDecl)",None,False,True,,Convert FnDecl.generic_params into Zig comptime parameters.,47,62
src/rs2zig/lowering/trait_lowering.py,src.rs2zig.lowering.trait_lowering,TraitLoweringPass._update_generic_callers,"(self, fn: FnDecl, generic_funcs: set)",None,False,True,,Update callers of generic functions to supply comptime type parameter.,64,74
src/rs2zig/validate/conversion_reporter.py,src.rs2zig.validate.conversion_reporter,ConversionReport.finalize,(self),None,False,True,,Compute summary statistics.,41,49
src/rs2zig/validate/conversion_reporter.py,src.rs2zig.validate.conversion_reporter,ConversionReporter.__init__,"(self, project_name: str = 'project')",None,False,True,,Initialize reporter instance.,55,57
src/rs2zig/validate/conversion_reporter.py,src.rs2zig.validate.conversion_reporter,ConversionReporter.add_file_result,"(self, input_file: str, output_file: str, success: bool, line_count: int = 0, error_message: Optional[str] = None)",None,False,True,,Record transpilation result for a single file.,59,84
src/rs2zig/validate/conversion_reporter.py,src.rs2zig.validate.conversion_reporter,ConversionReporter.generate_json_report,(self),str,False,True,,Return JSON string representation of report.,86,89
src/rs2zig/validate/conversion_reporter.py,src.rs2zig.validate.conversion_reporter,ConversionReporter.generate_markdown_report,(self),str,False,True,,Return Markdown formatted summary of conversion diagnostics.,91,118
src/rs2zig/validate/conversion_reporter.py,src.rs2zig.validate.conversion_reporter,ConversionReporter.print_cli_summary,(self),None,False,True,,Print concise summary statistics to console output.,120,132
src/rs2zig/validate/conversion_reporter.py,src.rs2zig.validate.conversion_reporter,ConversionReporter.save_reports,"(self, output_dir_or_json: str, md_path: str | None = None)",None,False,True,,Save json and markdown reports into target output directory or explicit paths.,134,166
src/rs2zig/validate/zig_fmt_check.py,src.rs2zig.validate.zig_fmt_check,ZigValidator.__init__,(self),None,False,True,,Check availability of Zig compiler binary on system PATH.,20,24
src/rs2zig/validate/zig_fmt_check.py,src.rs2zig.validate.zig_fmt_check,ZigValidator.format_code,"(self, zig_code: str)",str,False,True,,Format Zig code using `zig fmt --stdin`.,26,53
src/rs2zig/validate/zig_fmt_check.py,src.rs2zig.validate.zig_fmt_check,ZigValidator.check_syntax,"(self, zig_code: str)","Tuple[bool, str]",False,True,,Validate Zig source code by invoking `zig ast-check` or `zig build-obj`.,55,98
tests/test_cargo_parser.py,tests.test_cargo_parser,TestCargoParserAndBuildGen.test_parse_cargo_toml,(self),None,False,True,,Test parsing valid Cargo.toml content.,16,38
tests/test_cargo_parser.py,tests.test_cargo_parser,TestCargoParserAndBuildGen.test_generate_build_zig_wasm,(self),None,False,True,,Test generating build.zig targeting WASM freestanding.,40,50
